Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price
1,nan,5,nan,3,1970,Downtown,excellent,no,149919
2,4272,5,4,3,1958,downtown,Excellent,No,424998
3,3592,2,2,3,1938,downtown,Good,No,266746
4,966,4,2,2,1902,Suburban,fair,Yes,nan
5,4926,1,4,2,1975,downtown,Fair,Yes,636056
6,3944,nan,2,1,1906,Urban,Poor,No,93262
7,3671,1,1,error_value,nan,Rural,poor,yes,448722
8,3419,2,nan,1,1925,suburban,Good,Yes,594893
9,630,error_value,2,1,1932,Rural,Poor,Yes,652878
10,2185,3,3,1,2000,Downtown,poor,no,340375
11,1269,1,4,2,1947,Suburban,poor,Yes,653685
12,2891,4,4,3,1978,Urban,Excellent,Yes,127123
13,2933,4,3,2,1901,Downtown,Poor,No,849947
14,1684,1,1,1,2004,Rural,Good,no,399355
15,3885,nan,3,nan,1970,Urban,Fair,yes,481838
16,4617,1,4,2,1931,Downtown,Poor,No,853032
17,error_value,2,1,1,1903,Urban,Fair,Yes,208964
18,974,nan,2,1,1919,downtown,Poor,yes,905742
19,error_value,2,2,2,error_value,Suburban,good,No,989305
20,3058,5,2,error_value,2016,Downtown,excellent,No,218767
21,2547,4,4,2,1935,suburban,good,Yes,996357
22,3247,4,3,1,nan,Downtown,Excellent,No,nan
23,error_value,3,1,nan,1927,Downtown,Poor,no,709966
24,2306,2,2,nan,1976,rural,poor,yes,447694
25,689,5,1,3,1900,urban,Excellent,Yes,nan
26,3234,5,4,nan,error_value,urban,good,Yes,527032
27,3505,4,2,3,1955,Urban,good,Yes,error_value
28,2399,error_value,4,1,1934,downtown,excellent,Yes,513179
29,1767,3,3,3,2011,Downtown,Poor,Yes,948212
30,2028,2,4,1,1929,Downtown,excellent,No,206547
31,error_value,1,4,2,1953,Suburban,Poor,No,902609
32,4056,2,error_value,2,error_value,Suburban,Excellent,Yes,727090
33,4390,1,1,nan,2020,rural,Poor,No,202185
34,nan,1,3,3,1954,Downtown,excellent,No,725371
35,3388,3,3,2,1988,Urban,Fair,Yes,105746
36,nan,4,4,2,1979,Urban,poor,No,959507
37,1100,2,1,3,1957,Rural,good,No,748213
38,error_value,1,2,3,1982,urban,Excellent,Yes,921627
39,2561,2,3,1,1964,rural,good,No,873250
40,741,4,1,3,1968,downtown,Excellent,no,218393
41,2541,4,nan,3,1950,Urban,Good,Yes,333453
42,3324,nan,3,3,1921,downtown,Good,no,986192
43,3112,4,3,error_value,1987,suburban,Excellent,No,340320
44,1863,3,3,1,2006,Urban,excellent,no,error_value
45,1978,error_value,4,2,2008,suburban,Good,Yes,error_value
46,nan,5,1,1,2015,Urban,Good,Yes,396872
47,nan,3,1,error_value,2000,Downtown,Good,no,270084
48,4514,2,1,3,1952,rural,Poor,no,976920
49,534,1,3,2,1999,downtown,Poor,Yes,nan
50,3652,error_value,4,2,1935,Downtown,fair,Yes,845016
51,2455,1,3,3,1967,downtown,Poor,No,error_value
52,2085,nan,3,2,1935,urban,Poor,Yes,error_value
53,4443,error_value,nan,1,nan,Rural,Excellent,no,958840
54,3573,5,3,1,1952,suburban,Fair,No,593118
55,1521,5,2,nan,1981,Downtown,Fair,Yes,error_value
56,3961,4,3,1,1949,Urban,poor,yes,826522
57,3113,3,2,2,1979,suburban,excellent,No,913498
58,4343,3,3,2,1940,downtown,Excellent,No,840023
59,nan,1,4,3,1917,Suburban,Fair,yes,error_value
60,661,nan,error_value,2,1921,downtown,Excellent,No,error_value
61,4797,5,1,2,1965,suburban,Good,Yes,691157
62,nan,5,3,2,1920,suburban,Poor,Yes,307716
63,1495,nan,2,3,nan,Rural,Good,yes,857827
64,error_value,2,nan,1,nan,rural,Fair,Yes,66738
65,4298,5,3,2,2002,Downtown,Fair,Yes,183703
66,1775,5,2,3,1946,urban,Excellent,No,723265
67,1516,4,4,nan,1938,Rural,excellent,yes,593344
68,837,3,error_value,3,1928,Suburban,Fair,Yes,815034
69,1378,2,error_value,1,1953,Rural,Fair,Yes,560241
70,1576,3,4,2,1989,Rural,Good,yes,433800
71,4493,4,4,3,1984,Downtown,Good,Yes,error_value
72,879,5,4,1,1916,rural,Excellent,Yes,740807
73,error_value,3,3,3,1979,Rural,Good,Yes,628706
74,2562,5,3,nan,1959,Suburban,Excellent,No,873622
75,4384,5,4,3,1930,Rural,Excellent,No,76014
